name,special_price,price
Iphone 16 - 8GB- 128GB - 5g - Teal,1250000,1400000
Iphone 16 - 8GB -128GB - 5g - Ultramarine,1250000,1400000
Iphone 16 - 8GB -128GB - 5g -Pink,1250000,1400000
Iphone 16 - 8GB - 256GB - 5g - Ultramarine,1390000,1400000
Iphone 16 - 8GB -128GB - 5g - Black,1250000,1400000
"Iphone 15 - 6.1"" - 6GB RAM - 256GB ROM - Dual Sim - 3349mAh - Pink",1450000,1450000
"Iphone 16 Plus - 6.7"" - 8GB RAM - 128GB ROM - Dual Sim - 5g - 4674mAh - Blue",1640000,1700000
"Iphone 16 - 6.1"" - 8GB RAM - 256GB ROM - Dual Sim - 5g - 3561mAh - Teal",1620000,1700000
"Iphone 16 Pro - 6.3"" - 8GB RAM - 256GB ROM - Dual Sim - 5g - 3355mAh - Black",2040000,2040000
"Iphone 15 Plus - 6.7"" - 6GB RAM - 256GB ROM - Dual Sim - 5g - 4383mAh - Blue",1580000,1580000
Iphone 15 5g - 128GB ROM - 6GB RAM - Nano Sim - 3349mAh - Green,1090000,1090000
"Iphone 15 5g - 6.1"" - 128GB ROM - 6GB RAM - Nano Sim - 3349mAh - Blue",990000,990000
Iphone 14 Pro 128GB - 6GB RAM - Physical Sim + Esim - Black,1200000,1200000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - Single Sim + Esim  - 3279mAh - Starlight",790000,790000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM - Single Sim + Esim - 5G- 3279mAh - PURPLE",800000,800000
"Iphone 14 - 6.1"" - 128GB ROM - 6GB RAM- Single Sim + Esim - 5g - 3279mAh - Midnight",800000,800000
"IPhone 16 Pro - 6.3"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - Natural Titanium",1900000,1900000
"IPhone 16 Pro - 6.3"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - Desert Titanium",1900000,1900000
"IPhone 16 Pro - 6.3"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - White",1900000,1900000
"IPhone 16 Pro - 6.3"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - Black",1900000,1900000
"IPhone 16 Pro - 6.3"" - 256GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - Natural Titanium",1850000,1850000
"IPhone 16 Pro - 6.3"" - 256GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - Desert Titanium",1850000,1850000
"IPhone 16 Pro - 6.3"" - 256GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - White",1850000,1850000
"Iphone 16 Pro - 6.3"" - 256GB ROM - 8GB RAM - Single Sim - 5g - 3582mAh - Black",1850000,1850000
"IPhone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 4685mAh - Natural Titanium",2300000,2300000
"IPhone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 4685mAh - Desert Titanium",2300000,2300000
"IPhone 16 Pro Max - 6.9"" - 512GB ROM - 8GB RAM - Single Sim - 5g - 4685mAh - White",2300000,2300000
